Show,Date,Cast,Format,Master/Notes
Death Note: The Musical (데스노트),2025-11-26,"Im Gyu-hyung (Light Yagami), Sandeul (L), Yang Seung-ri (Ryuk), Jang Eun-ah (Rem), Choi Seo-yeon (Misa), Yoon Young-seok (Soichiro)",M2TS (25.5 GB),Fourth Season
Death Note: The Musical (데스노트),2022-04-03,"Hong Kwang-ho (Light Yagami), Kim Sung-cheol (L), Kang Hong-seok (Ryuk), Kim Sun-young (Rem), Kei (Misa)",M2TS (25.1 GB),"Third Season | Limited trade (2:1)"
